molecule_chembl_id,pchembl_value,target_chembl_id,value,canonical_smiles
CHEMBL210337,4.4,CHEMBL4282,39500.0,COc1nccc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc12
CHEMBL208014,6.11,CHEMBL4282,778.0,N[C@H](COc1cncc(-c2ccc3c(Cl)nccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL207215,5.91,CHEMBL4282,1240.0,N[C@H](COc1cncc(-c2ccc3c(O)nccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL210093,6.64,CHEMBL4282,227.0,N[C@H](COc1cncc(-c2ccc3c(F)nccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL210628,6.16,CHEMBL4282,697.0,N#C/C=C/c1c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cncc1-c1ccc2cnccc2c1
CHEMBL378116,7.08,CHEMBL4282,84.0,Cc1c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cncc1-c1ccc2cnccc2c1
CHEMBL210089,7.92,CHEMBL4282,12.0,N[C@H](COc1cc(-c2ccc3cnccc3c2)cnc1Cl)Cc1c[nH]c2ccccc12
CHEMBL207545,5.91,CHEMBL4282,1240.0,N[C@H](COc1cnc(C#Cc2ccccc2)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL207544,9.1,CHEMBL4282,0.8,C#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1
CHEMBL378843,8.82,CHEMBL4282,1.5,N[C@H](COc1cnc(-c2ccco2)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL209513,8.7,CHEMBL4282,2.0,C=Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1
CHEMBL379209,8.34,CHEMBL4282,4.6,N#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1
CHEMBL378963,8.74,CHEMBL4282,1.8,N[C@H](COc1cnc(Cl)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL208961,6.0,CHEMBL4282,995.0,Cc1cc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc2ccncc12
CHEMBL210954,9.77,CHEMBL4282,0.17,CC(C)(Cc1ccco1)C1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21
CHEMBL209826,9.05,CHEMBL4282,0.9,CC(C)(Cc1cccs1)C1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21
CHEMBL380004,7.39,CHEMBL4282,40.3,CCc1c(C)[nH]c(CC(C)(C)C2C(=O)Nc3ccc(-c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4)cc32)c1C
CHEMBL210209,8.14,CHEMBL4282,7.2,CC(C)(Cc1ncc[nH]1)C1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21
CHEMBL210237,6.82,CHEMBL4282,153.0,CC(C)(Cc1c[nH]c2ccccc12)C1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21
CHEMBL210940,8.92,CHEMBL4282,1.2,CC(C)(Cc1cc[nH]c1)C1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21
CHEMBL426140,9.15,CHEMBL4282,0.7,Cc1ccc(CC(C)(C)C2C(=O)Nc3ccc(-c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4)cc32)o1
CHEMBL211065,8.0,CHEMBL4282,10.0,Cc1cc(CC(C)(C)C2C(=O)Nc3ccc(-c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4)cc32)oc1C
